idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Is anorectal endosonography valuable in dyschesia?,yes,no,False,6.3037,7.2122,5.2186,0.9085,"""no"" in the control group, ""short"" in the patient group.",301,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
1,Is there a connection between sublingual varices and hypertension?,yes,no,False,6.4733,7.7818,2.5989,1.3085,sublingual varices indicate hypertension.,362,False,False,unparsable,False,False,1–2,<= 512 (normal)
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,yes,True,8.1632,7.7453,5.7024,0.4179,"""The affinity column-mediated immunoassay method is suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay.""",302,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,False,6.0335,8.8075,3.2532,2.774,"""Yes,"" the frequency of documentation of adverse drug reactions was highest in the Cardiology specialty; while the frequency of documentation of adherence to medicines was",309,False,False,yes,True,False,2–5,<= 512 (normal)
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,no,False,5.8765,7.6496,4.355,1.7731,LITT-induced BBB disruption allows a locoregional passage of chemotherapeutic agents into brain tissue to treat malignant gliomas.,219,False,False,unparsable,False,False,1–2,<= 512 (normal)
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,no,False,2.4486,3.9182,0.1986,1.4697,SSDH: a sequela of a ruptured intracranial aneurysm.,237,False,False,unparsable,False,False,1–2,<= 512 (normal)
6,Is there a correlation between androgens and sexual desire in women?,yes,no,False,3.0762,6.6951,1.8021,3.6189,The correlation between androgens and sexual desire in women is not strong enough to warrant further investigation.,323,False,False,unparsable,False,False,2–5,<= 512 (normal)
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,no,False,3.4869,5.4547,3.2423,1.9678,QuikClot is a promising hemostatic agent in the treatment of arterial injury.,261,False,False,unparsable,False,False,1–2,<= 512 (normal)
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,no,False,2.3257,6.2125,1.4359,3.8868,The vascular pattern of astrocytomas is a useful adjunct to the current grading scheme.,268,False,False,unparsable,False,False,2–5,<= 512 (normal)
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,no,False,6.894,7.6227,3.1486,0.7287,CBCT was superior to bitewing radiography in detecting cavitated proximal surfaces.,262,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
