idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes,yes,True,6.2284,4.6339,2.8978,1.5945,['yes / no / maybe'].,480,False,False,yes,True,True,1–2,<= 512 (normal)
1,Are physicians aware of the side effects of angiotensin-converting enzyme inhibitors?,no,yes,False,7.6238,5.6478,2.6773,1.976,['yes / no / maybe'].,438,False,False,yes,True,True,1–2,<= 512 (normal)
2,Amblyopia: is visual loss permanent?,no,yes,False,6.098,5.2338,2.2185,0.8642,"['A', 'B', 'C', 'D', 'E', 'F', 'G', '",320,False,True,unparsable,False,False,< 1 (uncertain),<= 512 (normal)
3,Parasacral sciatic nerve block: does the elicited motor response predict the success rate?,maybe,yes,False,6.3793,4.265,1.9745,2.1143,['yes / no / maybe].,429,False,False,yes,True,True,2–5,<= 512 (normal)
4,Does responsibility affect the public's valuation of health care interventions?,maybe,yes,False,6.6051,5.4301,1.7808,1.175,['yes / no / maybe'].,513,False,False,yes,True,True,1–2,> 512 (long)
5,Is zero central line-associated bloodstream infection rate sustainable?,yes,yes,True,5.7897,4.1835,1.9886,1.6062,['yes / no / maybe'].,428,False,False,yes,True,True,1–2,<= 512 (normal)
6,Are there mental health differences between francophone and non-francophone populations in manitoba?,maybe,yes,False,6.6461,4.813,2.4255,1.8331,['yes / no / maybe'].,481,False,False,yes,True,True,1–2,<= 512 (normal)
7,Is perforation of the appendix a risk factor for tubal infertility and ectopic pregnancy?,maybe,yes,False,7.6484,5.1968,2.1972,2.4517,['yes / no'].,417,False,False,yes,True,True,2–5,<= 512 (normal)
8,Does case-mix based reimbursement stimulate the development of process-oriented care delivery?,yes,yes,True,6.9767,5.4871,3.1111,1.4896,['yes / no / maybe / maybe'].,398,False,False,yes,True,True,1–2,<= 512 (normal)
9,Cycloplegic autorefraction in young adults: is it mandatory?,maybe,yes,False,5.1441,4.9716,1.6548,0.1725,"['A', 'B', 'C', 'D', 'E', 'F', 'G', '",566,False,True,unparsable,False,False,< 1 (uncertain),> 512 (long)
10,Does normothermic normokalemic simultaneous antegrade/retrograde perfusion improve myocardial oxygenation and energy metabolism for hypertrophied hearts?,no,yes,False,5.4811,4.1208,2.3692,1.3604,['yes / no'].,453,False,False,yes,True,True,1–2,<= 512 (normal)
11,Prognostic factors for cervical spondylotic amyotrophy: are signs of spinal cord involvement associated with the neurological prognosis?,yes,yes,True,7.0698,4.4549,2.6488,2.6149,['yes / no / maybe'].,480,False,False,yes,True,True,2–5,<= 512 (normal)
12,Does exercise during pregnancy prevent postnatal depression?,no,yes,False,8.4628,4.4922,2.355,3.9706,['yes / no / maybe'].,436,False,False,yes,True,True,2–5,<= 512 (normal)
13,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes,yes,True,7.3494,4.7939,2.6229,2.5556,['yes / no / maybe'].,488,False,False,yes,True,True,2–5,<= 512 (normal)
14,Detailed analysis of sputum and systemic inflammation in asthma phenotypes: are paucigranulocytic asthmatics really non-inflammatory?,maybe,yes,False,5.8177,4.4186,2.9155,1.3991,['yes / no / maybe'].,570,False,False,yes,True,True,1–2,> 512 (long)
15,Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,yes,yes,True,6.7403,4.6624,1.9348,2.0779,['yes / no / maybe / not'].,430,False,False,yes,True,True,2–5,<= 512 (normal)
16,Can dobutamine stress echocardiography induce cardiac troponin elevation?,no,yes,False,6.7096,5.9265,3.4988,0.7832,['yes / no / maybe / not'].,416,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
17,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,yes,False,6.6287,5.4899,0.4324,1.1388,['yes / no / maybe'].,264,False,False,yes,True,True,1–2,<= 512 (normal)
18,Necrotizing fasciitis: an indication for hyperbaric oxygenation therapy?,no,yes,False,6.7922,5.2491,2.9071,1.5431,['yes / no / maybe'].,411,False,False,yes,True,True,1–2,<= 512 (normal)
19,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,yes,False,6.0609,4.8138,3.3663,1.2471,['yes / no / maybe].,304,False,False,yes,True,True,1–2,<= 512 (normal)
20,Diagnostic and therapeutic ureteroscopy: is dilatation of ureteral meatus always necessary?,no,yes,False,6.1522,5.0643,3.2713,1.0879,['yes / no / maybe'].,543,False,False,yes,True,True,1–2,> 512 (long)
21,Does rugby headgear prevent concussion?,maybe,yes,False,6.814,5.0606,1.7214,1.7533,['yes / no / maybe / maybe / not'].,396,False,False,yes,True,True,1–2,<= 512 (normal)
