idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Is anorectal endosonography valuable in dyschesia?,yes,yes,True,15.2084,14.7479,13.6468,0.4605,yes / no / maybe yes / no / yes / no / yes / yes / no / yes / yes / yes / yes / yes /,284,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
1,Is there a connection between sublingual varices and hypertension?,yes,yes,True,16.0293,15.8289,13.4504,0.2004,yes / no / no / yes / no / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes /,345,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,yes,True,15.8302,15.5199,13.8395,0.3103,yes / no / maybe yes / no / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes /,285,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,False,16.2562,16.3077,14.1242,0.0514,no / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes /,292,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,yes,True,15.2199,14.2595,13.5901,0.9603,yes / no / maybe yes / no / maybe no / yes / yes / yes / yes / yes / yes / yes / yes /,202,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,yes,True,16.7762,15.8366,14.87,0.9396,yes / no / maybe yes / no / maybe yes / no / maybe yes / yes / yes / yes / yes / yes /,220,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
6,Is there a correlation between androgens and sexual desire in women?,yes,yes,True,15.7878,15.4591,14.4893,0.3287,yes / no / maybe yes / no / yes / no / yes / yes / yes / yes / yes / yes / yes / yes /,306,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes,True,14.9321,14.1554,13.9886,0.7766,yes / no / maybe yes / no / yes / no / yes / no / yes / no / yes / no / yes / no /,244,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,yes,True,14.8535,14.6646,13.4086,0.1889,yes / no / maybe yes / no / yes / yes / yes / yes / yes / yes / yes / yes / yes / yes /,251,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes,True,16.5013,15.9681,13.6837,0.5332,yes / no / maybe yes / no / yes / no / yes / no / yes / no / yes / no / yes / no /,245,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
