idx,question,true_label,predicted_label,correct,score_yes,score_no,score_maybe,confidence_margin,generated_text,prompt_token_len,truncated,uncertain,parsed_from_text,is_parsable,text_label_match,margin_bucket,length_bucket
0,Is anorectal endosonography valuable in dyschesia?,yes,no,False,15.5355,15.84,13.7559,0.3045,no: no: no: no: no: no: no: no: no: no: no: no: no: no: no:,301,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
1,Is there a connection between sublingual varices and hypertension?,yes,no,False,15.5006,16.3605,14.701,0.8599,no answer yes: no answer yes: no answer yes: no answer yes: no answer yes: no answer yes: no answer yes: no answer,362,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
2,Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,no,False,15.2714,15.7094,13.443,0.438,no answers was given in the ACMIA method.,302,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
3,Does a physician's specialty influence the recording of medication history in patients' case notes?,yes,no,False,16.4891,17.0911,14.4481,0.6021,"no answers was given to the question: yes, no, maybe yes, maybe no, maybe no, maybe yes, maybe",309,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
4,Locoregional opening of the rodent blood-brain barrier for paclitaxel using Nd:YAG laser-induced thermo therapy: a new concept of adjuvant glioma therapy?,yes,no,False,14.8164,15.8774,13.8334,1.061,no.,219,False,False,no,True,True,1–2,<= 512 (normal)
5,Spinal subdural hematoma: a sequela of a ruptured intracranial aneurysm?,yes,yes,True,16.8756,16.2232,15.6455,0.6524,yes.,237,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
6,Is there a correlation between androgens and sexual desire in women?,yes,yes,True,16.3832,16.1956,14.7539,0.1876,yes.,323,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
7,Is the zeolite hemostatic agent beneficial in reducing blood loss during arterial injury?,yes,yes,True,15.3084,14.5316,14.4106,0.7768,yes.,261,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
8,Are endothelial cell patterns of astrocytomas indicative of grade?,yes,no,False,14.7406,15.5018,14.3171,0.7612,no: no: yes.,268,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
9,Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes,True,16.1548,14.9344,13.2563,1.2204,"yes, no answers were significantly more frequent for CBCT than for bitewings (p < 0.001).",262,False,False,yes,True,True,1–2,<= 512 (normal)
10,Ultrasound in squamous cell carcinoma of the penis; a useful addition to clinical staging?,yes,no,False,15.1728,15.9127,13.9078,0.7399,no yes answers.,236,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
11,Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,no,False,15.8684,16.4329,14.4028,0.5645,no yes answers to yes questions about the presence of noncephalic at delivery.,226,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
12,Is micro-computed tomography reliable to determine the microstructure of the maxillary alveolar bone?,yes,no,False,13.6624,14.9035,13.6652,1.2383,no.,313,False,False,no,True,True,1–2,<= 512 (normal)
13,Is primary angioplasty an acceptable alternative to thrombolysis?,yes,no,False,16.2022,16.6429,15.1026,0.4407,no: yes: no: yes: no: yes: no: yes: no: yes: no: yes: no: yes: no:,295,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
14,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,yes,no,False,15.4685,15.5354,13.5894,0.0669,no was not answered.,386,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
15,Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes,no,False,15.6891,15.9262,13.9826,0.2371,"no yes, no: no yes: no yes: no yes: no yes: no yes: no yes: no yes: no yes: no",286,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
16,Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean delivery?,yes,yes,True,17.1974,16.9019,15.1017,0.2955,"yes, no, yes: no, yes: no, yes: no, yes: no, yes: yes, yes: no, yes:",230,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
17,Are financial incentives cost-effective to support smoking cessation during pregnancy?,yes,no,False,15.6448,15.8838,15.3479,0.239,no answers.,395,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
18,Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,yes,no,False,16.3052,16.7107,14.7707,0.4056,no answers were obtained.,352,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
19,Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,yes,no,False,15.0925,16.5151,15.0674,1.4226,"no answers were given by 3 surgeons (10%), 5 surgeons (18%), and 18 surgeons (67%), respectively.",187,False,False,no,True,True,1–2,<= 512 (normal)
20,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes,no,False,15.6503,16.3175,13.7237,0.6672,"no yes answers was given to the yes, no, or mayor yes answers to the yes, no, or mayor yes answers to the yes",329,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
21,Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,yes,no,False,15.3128,15.6028,14.4941,0.29,no: no.,426,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
22,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,no,False,15.7559,15.9786,14.836,0.2227,no.,382,False,True,no,True,True,< 1 (uncertain),<= 512 (normal)
23,"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",yes,no,False,15.1157,16.6934,14.6203,1.5777,no answers.,468,False,False,no,True,True,1–2,<= 512 (normal)
24,Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes,yes,True,15.271,15.1598,14.3152,0.1112,yes.,283,False,True,yes,True,True,< 1 (uncertain),<= 512 (normal)
